Question,Answer
What does the law on page 1 state?,"From:
Published
Updated:Immigration Rules
Home Ofﬁce
( / g o v e r n m e n t / o r g a n i s a t i o n s / h o m e - o f ﬁ c e )
25 February 2016
12 March 2025 - See all updates
Immigration Rules part 1: leave to enter or
stay in the UK
General provisions regarding entry
clearance, leave to enter or remain in
the United Kingdom (paragraphs 7 to
39E).
Leave to enter the United Kingdom
7.A person who is neither a British citizen nor a
Commonwealth citizen with the right of abode nor a
person who is entitled to enter or remain in the
United Kingdom by virtue of section 3ZA of the
Immigration Act 1971 requires leave to enter the
United Kingdom.
8.Under Sections 3 and 4 of the Immigration Act
1971 an Immigration Ofﬁcer when admitting to the
United Kingdom a person subject to immigration
control under that Act may give leave to enter for a
limited period and, if he does, may impose all or
any of the following conditions:Back to contents15/03/2025, 15:26 Immigration Rules - Immigration Rules part 1: leave to enter or stay in the UK - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-part-1-leave-to-enter-or-stay-in-the-uk 1/27"
What does the law on page 2 state?,"(i) a condition restricting employment or
occupation in the United Kingdom;
(ii) a condition requiring the person to maintain
and accommodate himself, and any dependants
of his, without recourse to public funds;
(iii) a condition requiring the person to register
with the police; and
(iv) a condition restricting his studies in the
United Kingdom
He may also require him to report to the appropriate
Medical Ofﬁcer of Environmental Health. Under
Section 24 of the 1971 Act it is an offence
knowingly to remain beyond the time limit or fail to
comply with such a condition or requirement.
9.The time limit and any conditions attached will be
made known to the person concerned either:
(i) by written notice given to him or endorsed by
the Immigration Ofﬁcer in his passport or travel
document; or
(ii) in any other manner permitted by the
Immigration (Leave to Enter and Remain) Order
2000.
Exercise of the power to refuse leave
to enter the United Kingdom or to
cancel leave to enter or remain which
is in force
10.The power to refuse leave to enter the United
Kingdom or to cancel leave to enter or remain
which is already in force is not to be exercised by
an Immigration Ofﬁcer acting on his own. The
authority of a Chief Immigration Ofﬁcer or of an
Immigration Inspector must always be obtained.
Suspension of leave to enter or
remain in the United Kingdom
10A. Where a person has arrived in the United
Kingdom with leave to enter or remain which is in
force but which was given to him before his arrival
he may be examined by an Immigration Ofﬁcer
under paragraph 2A of Schedule 2 to the15/03/2025, 15:26 Immigration Rules - Immigration Rules part 1: leave to enter or stay in the UK - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-part-1-leave-to-enter-or-stay-in-the-uk 2/27"
What does the law on page 3 state?,"Immigration Act 1971. An Immigration Ofﬁcer
examining a person under paragraph 2A may
suspend that person’s leave to enter or remain in
the United Kingdom until the examination is
completed.
Cancellation of leave to enter or
remain in the United Kingdom
10B Where a person arrives in the United Kingdom
with leave to enter or remain in the United Kingdom
which is already in force, an Immigration Ofﬁcer
may cancel that leave.
Requirement for persons arriving in
the United Kingdom or seeking entry
through the Channel T unnel to
produce evidence of identity and
nationality
11.A person must, on arrival in the United Kingdom
or when seeking entry through the Channel Tunnel,
produce on request by an immigration ofﬁcer:
(i) a valid national passport or, subject to
paragraph 11A other document satisfactorily
establishing their identity and nationality; and
(ii) such information as may be required to
establish whether they require leave to enter the
United Kingdom and, if so, whether and on what
terms leave to enter should be given.
11A. A national identity card is not valid for the
purposes of paragraph 11(i), except where the
holder is one of the following:
(a) a British citizen of Gibraltar; or
(b) a national of Switzerland with a valid entry
clearance granted under Appendix Service
Providers from Switzerland to these Rules; or
(c) a national of one of the countries listed in
paragraph 11B with valid indeﬁnite or limited
leave to enter or remain granted under
Appendix EU to these Rules, or who has made
a valid application under that Appendix (other
than as a joining family member of a relevant15/03/2025, 15:26 Immigration Rules - Immigration Rules part 1: leave to enter or stay in the UK - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-part-1-leave-to-enter-or-stay-in-the-uk 3/27"
What does the law on page 4 state?,"sponsor, as deﬁned in Annex 1 to that
Appendix) which has not yet been ﬁnally
determined; or
(d) a national of one of the countries listed at
paragraph 11B with a valid entry clearance in
the form of an EU Settlement Scheme Family
Permit; or
(e) a national of one of the countries listed at
paragraph 11B with a frontier worker permit; or
(f) a national of one of the countries listed at
paragraph 11B seeking to come to the UK as an
S2 Healthcare Visitor; or
(g) a national of one of the countries listed at
paragraph 11B who has been granted
immigration permission equivalent to that set
out in sub-paragraphs (b) to (f) above by the
Islands, or who has made a valid application
under the equivalent in the Islands of Appendix
EU to these rules (other than as the equivalent
of a joining family member of a relevant
sponsor, as deﬁned in Annex 1 to that
Appendix) which has not yet been ﬁnally
determined; or
(h) a person aged 18 or under, studying at a
school or educational institution in France
registered with the French Ministry of Education
and seeking to enter the UK as part of a school
party of 5 or more pupils organised by that
school or institution.
11B. For the purposes of subparagraphs (c) to (h)
of paragraph 11A, the holder must be a national of
one of the following countries:
Austria
Belgium
Bulgaria
Croatia
Cyprus
Czech Republic
Denmark
Estonia
Finland15/03/2025, 15:26 Immigration Rules - Immigration Rules part 1: leave to enter or stay in the UK - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-part-1-leave-to-enter-or-stay-in-the-uk 4/27"
What does the law on page 5 state?,"France
Germany
Greece
Hungary
Iceland
Italy
Latvia
Liechtenstein
Lithuania
Luxembourg
Malta
Netherlands
Norway
Poland
Portugal
Romania
Slovakia
Slovenia
Spain
Sweden
Switzerland.
11C. For the purposes of paragraphs 11A(h) and
VN 7.0, that person must be listed in a completed
and authenticated “France-UK School Trip Travel
Information Form” (published by the Home Ofﬁce
on the gov.uk website) in the possession of an adult
arriving at the border with responsibility for
supervising the party’s travel.
Requirement for a person not
requiring leave to enter the United
Kingdom to prove that he has the
right of abode
12. A person claiming to be a British citizen must
prove that he has the right of abode in the United
Kingdom by producing either:15/03/2025, 15:26 Immigration Rules - Immigration Rules part 1: leave to enter or stay in the UK - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-part-1-leave-to-enter-or-stay-in-the-uk 5/27"
What does the law on page 6 state?,"(i) a United Kingdom passport describing him as
a British citizen or as a citizen of the United
Kingdom and Colonies having the right of abode
in the United Kingdom; or
(ii) a certiﬁcate of entitlement duly issued by or
on behalf of the Government of the United
Kingdom certifying that he has the right of
abode.
13. A person claiming to be a Commonwealth
citizen with the right of abode in the United
Kingdom must prove that he has the right of abode
by producing a certiﬁcate of entitlement duly issued
to him by or on behalf of the Government of the
United Kingdom certifying that he has the right of
abode.
14. A Commonwealth citizen who has been given
limited leave to enter the United Kingdom may later
claim to have the right of abode. The time limit on
his stay may be removed if he is able to establish a
claim to the right of abode, for example by showing
that:
(i) immediately before the commencement of
the British Nationality Act 1981 he was a
Commonwealth citizen born to or legally
adopted by a parent who at the time of the birth
had citizenship of the United Kingdom and
Colonies by his birth in the United Kingdom or
any of the Islands; and
(ii) he has not ceased to be a Commonwealth
citizen in the meanwhile.
Common T ravel Area
15.The United Kingdom, the Channel Islands, the
Isle of Man and the Republic of Ireland collectively
form a common travel area. A person who has been
examined for the purpose of immigration control at
the point at which he entered the area does not
normally require leave to enter any other part of it.
However certain persons subject to the Immigration
(Control of Entry through the Republic of Ireland)
Order 1972 (as amended) who enter the United
Kingdom through the Republic of Ireland do require
leave to enter. This includes:
(i) those who merely passed through the
Republic of Ireland;15/03/2025, 15:26 Immigration Rules - Immigration Rules part 1: leave to enter or stay in the UK - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-part-1-leave-to-enter-or-stay-in-the-uk 6/27"
What does the law on page 7 state?,"(ii)persons requiring visas;
(iii)persons who entered the Republic of Ireland
unlawfully;
(iv)persons who are subject to directions given
by the Secretary of State for their exclusion from
the United Kingdom on the ground that their
exclusion is conducive to the public good;
(v)persons who entered the Republic from the
United Kingdom and Islands after entering there
unlawfully or overstaying their leave.
Admission of certain British passport
holders
16. A person in any of the following categories may
be admitted freely to the United Kingdom on
production of a United Kingdom passport issued in
the United Kingdom and Islands or the Republic of
Ireland prior to 1 January 1973, unless his passport
has been endorsed to show that he was subject to
immigration control:
(i) a British Dependent Territories citizen;
(ii) a British National (Overseas);
(iii) a British Overseas citizen;
(iv) a British protected person;
(v) a British subject by virtue of Section 30(a) of
the British Nationality Act 1981, (who,
immediately before the commencement of the
1981 Act would have been a British subject not
possessing citizenship of the United Kingdom
and Colonies or the citizenship of any other
Commonwealth country or territory).
17. British Overseas citizens who hold United
Kingdom passports wherever issued and who
satisfy the Immigration Ofﬁcer that they have, since
1 March 1968, been given indeﬁnite leave to enter
or remain in the United Kingdom may be given
indeﬁnite leave to enter.
Persons outside the United Kingdom
17A. Where a person is outside the United
Kingdom but wishes to travel to the United Kingdom15/03/2025, 15:26 Immigration Rules - Immigration Rules part 1: leave to enter or stay in the UK - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-part-1-leave-to-enter-or-stay-in-the-uk 7/27"
What does the law on page 8 state?,"an Immigration Ofﬁcer may give or refuse him leave
to enter. An Immigration Ofﬁcer may exercise these
powers whether or not he is, himself, in the United
Kingdom. However, an Immigration Ofﬁcer is not
obliged to consider an application for leave to enter
from a person outside the United Kingdom.
17B. Where a person having left the common travel
area, has leave to enter the United Kingdom which
remains in force under article 13 of the Immigration
(Leave to Enter and Remain) Order 2000, an
Immigration Ofﬁcer may cancel that leave. An
Immigration Ofﬁcer may exercise these powers
whether or not he is, himself, in the United
Kingdom. If a person outside the United Kingdom
has leave to remain in the United Kingdom which is
in force in this way, the Secretary of State may
cancel that leave.
Returning Residents
18. DELETED
18A. DELETED
19. DELETED
19A. DELETED
20. DELETED
Non-lapsing leave
20A. Leave to enter or remain in the United
Kingdom will usually lapse on the holder going to a
country or territory outside the common travel area.
However, under article 13 of the Immigration (Leave
to Enter and Remain) Order 2000 such leave will
not lapse where it was given for a period exceeding
six months or where it was conferred by means of
an entry clearance (other than a visit visa).
20B. Those who seek leave to enter the United
Kingdom within the period of their earlier leave and
for the same purpose as that for which that leave
was granted, unless it
(i) was for a period of six months or less; or
(ii) was extended by statutory instrument or by
section 3C of the Immigration Act 1971 (inserted15/03/2025, 15:26 Immigration Rules - Immigration Rules part 1: leave to enter or stay in the UK - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-part-1-leave-to-enter-or-stay-in-the-uk 8/27"
What does the law on page 9 state?,"by section 3 of the Immigration and Asylum Act
1999); do not need a visa to enter the UK.
Holders of restricted travel
documents and passports
21. The leave to enter or remain in the United
Kingdom of the holder of a passport or travel
document whose permission to enter another
country has to be exercised before a given date
may be restricted so as to terminate at least 2
months before that date.
22. If his passport or travel document is endorsed
with a restriction on the period for which he may
remain outside his country of normal residence, his
leave to enter or remain in the United Kingdom may
be limited so as not to extend beyond the period of
authorised absence.
23.The holder of a travel document issued by the
Home Ofﬁce should not be given leave to enter or
remain for a period extending beyond the validity of
that document. This paragraph and paragraphs 21-
22 do not apply to a person who is eligible for
admission for settlement or to a spouse or civil
partner who is eligible for admission under
paragraph 282 or to a person who qualiﬁes for the
removal of the time limit on his stay.
Leave to enter granted on arrival in
the United Kingdom
23A. A person who is not a visa national and who is
seeking leave to enter on arrival in the United
Kingdom for a period not exceeding 6 months for a
purpose for which prior entry clearance is not
required under these Rules may be granted such
leave, for a period not exceeding 6 months. This
paragraph does not apply where the person is a
British National (Overseas), a British overseas
territories citizen, a British Overseas citizen, a
British protected person, or a person who under the
British Nationality Act 1981 is a British subject.
23B. A person who is a British National (Overseas),
a British overseas territories citizen, a British
Overseas citizen, a British protected person, or a
person who under the British Nationality Act 1981 is15/03/2025, 15:26 Immigration Rules - Immigration Rules part 1: leave to enter or stay in the UK - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-part-1-leave-to-enter-or-stay-in-the-uk 9/27"
What does the law on page 10 state?,"a British subject, and who is seeking leave to enter
on arrival in the United Kingdom for a purpose for
which prior entry clearance is not required under
these Rules may be granted such leave,
irrespective of the period of time for which he seeks
entry, for a period not exceeding 6 months.
A24. A person who is a national of a country
speciﬁed in rule ETA 1.2. must obtain an ETA
before travel to the UK unless they have an entry
clearance.
Entry clearance
24. The following persons are required to obtain
entry clearance in advance of travel to the UK:
(i) a visa national;
(ii) a non-visa national (not a British or Irish
national) who is seeking entry for any purpose
other than as a visitor seeking entry for 6
months or less, or
(iii) a British national without the right of abode
who is seeking entry for a purpose for which
prior entry clearance is required under these
Rules.
Any other person who wishes to ascertain in
advance whether they are eligible for admission to
the United Kingdom may apply for the issue of an
entry clearance.
24A. A person who requires entry clearance must
on arrival in the UK either:
(i) produce to the Immigration Ofﬁcer a valid
passport or other identity document endorsed
with a United Kingdom entry clearance, issued
to them for the purpose for which they seek
entry, which is still in force, or:
(ii) where they have been granted a United
Kingdom entry clearance which was issued to
them in electronic form (an eVisa) for the
purpose for which they seek entry and which is
still in force, produce to the Immigration Ofﬁcer
a valid passport or other identity document.
24B. A person who requires entry clearance and
fails to meet the requirements of 24A must not be15/03/2025, 15:26 Immigration Rules - Immigration Rules part 1: leave to enter or stay in the UK - Guidance - GOV.UK
https://www.gov.uk/guidance/immigration-rules/immigration-rules-part-1-leave-to-enter-or-stay-in-the-uk 10/27"
